kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
ras,random_sites,6,2.4902,57.541,9.590,-0.0098
ras,random_sites,7,2.9752,70.364,10.052,-0.0248
ras,random_sites,8,3.4774,81.740,10.217,-0.0226
ras,random_sites,9,3.9859,93.344,10.372,-0.0141
ras,random_sites,10,4.4832,105.144,10.514,-0.0168
ras,random_sites,11,4.9861,117.226,10.657,-0.0139
ras,random_sites,12,5.4666,127.979,10.665,-0.0334
ras,random_sites,13,5.9618,138.693,10.669,-0.0382
ras,random_sites,14,6.4583,149.473,10.677,-0.0417
ras,random_sites,15,6.9592,161.156,10.744,-0.0408
ras,random_sites,16,7.4498,171.944,10.746,-0.0502
ras,random_sites,17,7.9603,184.903,10.877,-0.0397
ras,random_sites,18,8.9592,209.495,11.639,0.4592
ras,random_sites,19,9.9479,235.756,12.408,0.9479
ras,random_sites,20,10.9426,261.763,13.088,1.4426
ras,random_sites,21,11.9441,288.758,13.750,1.9441
ras,random_sites,22,12.9434,316.585,14.390,2.4434
ras,random_sites,23,13.9502,343.662,14.942,2.9502
ras,random_sites,24,14.9827,373.550,15.565,3.4827
ras,random_sites,25,16.0230,406.482,16.259,4.0230
ras,random_sites,26,17.0854,439.335,16.898,4.5854
ras,random_sites,27,18.1040,467.701,17.322,5.1040
ras,random_sites,28,19.1469,491.919,17.569,5.6469
ras,random_sites,29,20.1454,517.030,17.829,6.1454
ras,random_sites,30,21.2018,541.589,18.053,6.7018
ras,random_sites,31,22.2583,565.668,18.247,7.2583
ras,random_sites,32,23.2747,590.714,18.460,7.7747
ras,random_sites,33,24.3185,615.502,18.652,8.3185
ras,random_sites,34,25.3378,638.380,18.776,8.8378
ras,random_sites,35,26.3322,659.850,18.853,9.3322
ras,random_sites,36,27.3326,680.351,18.899,9.8326
ras,random_sites,37,28.3581,704.498,19.040,10.3581
ras,random_sites,38,29.3886,727.980,19.157,10.8886
ras,random_sites,39,30.4751,751.365,19.266,11.4751
ras,random_sites,40,31.5312,776.419,19.410,12.0312
ras,random_sites,44,35.5982,865.270,19.665,14.0982
ras,random_sites,48,39.7910,960.800,20.017,16.2910
