kind,a,b,c,d,e,f,g,h,i,j,k
stride_header,region,stride_lines,ns,cycles,ratio_vs_random,l1r,l2r,l3r,llmiss,bus,walk
boundary,cma/B=65536/phase=16K,desc,mid_block,340.844,25.914,38.938,510
boundary,cma/B=65536/phase=32K,asc,ends_at_boundary,244.188,13.832,30.383,510
boundary,cma/B=65536/phase=32K,asc,crosses_boundary,324.156,23.828,40.172,510
boundary,cma/B=65536/phase=32K,asc,mid_block,329.906,24.547,39.469,510
boundary,cma/B=65536/phase=32K,desc,ends_at_boundary,238.469,13.117,29.633,510
boundary,cma/B=65536/phase=32K,desc,crosses_boundary,321.500,23.496,39.820,510
boundary,cma/B=65536/phase=32K,desc,mid_block,335.219,25.211,38.492,510
boundary,cma/B=65536/phase=48K,asc,ends_at_boundary,242.156,13.578,30.125,510
boundary,cma/B=65536/phase=48K,asc,crosses_boundary,326.594,24.133,40.383,510
boundary,cma/B=65536/phase=48K,asc,mid_block,330.188,24.582,39.172,510
boundary,cma/B=65536/phase=48K,desc,ends_at_boundary,236.875,12.918,29.461,510
boundary,cma/B=65536/phase=48K,desc,crosses_boundary,325.125,23.949,40.211,510
boundary,cma/B=65536/phase=48K,desc,mid_block,338.031,25.562,38.820,510
store_header,stride,ns,ratio_vs_random,bus,l2r,ll
store,1,15.6173,0.6492,9.1511,0.08531,1.08029
store,2,16.3608,0.6801,9.1250,0.29498,1.09365
store,4,17.9322,0.7454,9.1199,0.28888,1.09342
store,8,19.7402,0.8206,9.1144,0.28090,1.09025
store,16,21.5783,0.8970,9.3197,0.30773,1.10626
store,32,22.5346,0.9367,9.7442,0.37289,1.11117
store,64,23.2572,0.9668,10.1217,0.40928,1.10624
store,-1,15.4366,0.6417,9.1329,0.08274,1.07793
store,random,24.0571,1.0000,9.2222,0.18731,1.12478
